Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;
Lat;-9.1131;Lat;-8.2708;Lat;-7.5667;Lat;-7.3808;Lat;-7.3908;Lat;-7.5344;Lat;-7.0819;Lat;-9.58;Lat;-8.7925;Lat;-7.2475;Lat;-6.7614;Lat;-6.9731;Lat;-7.2342;Lat;-6.6222;Lat;-5.5719;Lat;-5.135;Lat;-5.2231;Lat;-5.6664;Lat;-5.2025;Lat;-3.4539;Lat;-4.4097;Lat;-3.9028;Lat;-3.7239;
Lon;-45.9261;Lon;-45.6683;Lon;-45.2544;Lon;-44.8267;Lon;-44.6142;Lon;-46.0358;Lon;-44.8139;Lon;-45.0292;Lon;-44.2058;Lon;-43.6433;Lon;-43.0278;Lon;-42.1061;Lon;-42.5439;Lon;-42.6969;Lon;-43.0242;Lon;-42.8111;Lon;-41.7375;Lon;-42.2136;Lon;-42.6967;Lon;-42.37;Lon;-42.1814;Lon;-42.2297;Lon;-41.9742;
Alt;266.0;Alt;-99999.0;Alt;197.0;Alt;210.0;Alt;160.0;Alt;263.0;Alt;177.0;Alt;341.0;Alt;220.0;Alt;150.0;Alt;134.0;Alt;160.0;Alt;138.0;Alt;95.0;Alt;104.0;Alt;49.0;Alt;180.0;Alt;80.0;Alt;60.0;Alt;22.0;Alt;53.0;Alt;56.0;Alt;48.0;
Basin area;12900.0;Basin area;25500.0;Basin area;31300.0;Basin area;35300.0;Basin area;15600.0;Basin area;9040.0;Basin area;24700.0;Basin area;750.0;Basin area;31000.0;Basin area;47000.0;Basin area;140000.0;Basin area;29100.0;Basin area;34400.0;Basin area;73700.0;Basin area;235000.0;Basin area;237000.0;Basin area;19200.0;Basin area;43400.0;Basin area;51400.0;Basin area;298000.0;Basin area;4910.0;Basin area;11200.0;Basin area;21800.0;
River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO URUÇUÍ PRETO;River;RIO DAS BALSAS;River;RIO DAS BALSAS;River;RIO CONTRATO;River;RIO GURGUÉIA;River;RIO GURGUÉIA;River;RIO PARANAÍBA;River;RIO CANINDÉ;River;RIO PIAUÍ;River;RIO CANINDÉ;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO POTI;River;RIO POTI;River;RIO POTI;River;RIO PARANAÍBA;River;RIO LONGÁ;River;RIO LONGÁ;River;RIO LONGÁ;
Municipality;ALTO PARNAÍBA;Municipality;TASSO FRAGOSO;Municipality;RIBEIRO GONÇALVES;Municipality;URUÇUÍ;Municipality;URUÇUÍ;Municipality;BALSAS;Municipality;SÃO FÉLIX DE BALSAS;Municipality;MONTE ALEGRE DO PIAUÍ;Municipality;CRISTINO CASTRO;Municipality;JERUMENHA;Municipality;BARÃO DE GRAJAÚ;Municipality;OEIRAS;Municipality;SÃO FRANCISCO DO PIAUÍ;Municipality;FRANCISCO AYRES;Municipality;PALMEIRAIS;Municipality;TERESINA;Municipality;CASTELO DO PIAUÍ;Municipality;PRATA DO PIAUÍ;Municipality;TERESINA;Municipality;LUZILÂNDIA;Municipality;BARRAS;Municipality;ESPERANTINA;Municipality;SÃO JOSÉ DO DIVINO;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1968;390.82;1997;373.53;1968;602.63;1968;566.38;1973;71.50;1973;300.67;1973;1034.83;1975;13.34;1975;57.65;1973;440.19;1983;1604.45;1973;775.32;1982;33.89;1983;669.90;1973;2996.35;1981;1482.35;1964;1025.59;1973;2721.70;1989;1504.24;1982;1936.15;1984;633.57;1973;1528.83;1973;2642.79;
1969;423.87;1998;556.02;1969;634.33;1969;681.66;1974;70.12;1974;227.16;1974;552.95;1976;18.31;1976;118.42;1974;180.73;1984;2344.33;1974;168.32;1983;77.53;1984;1188.07;1974;1325.19;1982;2707.86;1967;806.02;1974;2074.42;1990;2276.10;1983;2996.02;1985;700.90;1974;1096.63;1974;1633.95;
1970;299.87;1999;589.42;1970;393.57;1970;382.38;1975;49.62;1975;226.29;1975;508.81;1977;41.00;1977;167.62;1975;168.30;1985;1976.84;1975;161.56;1984;274.06;1985;646.98;1975;1472.33;1983;2415.65;1968;688.08;1975;864.88;1991;1529.56;1984;5874.92;1992;74.61;1975;843.45;1975;1102.18;
1971;237.28;2000;663.97;1971;352.05;1971;355.79;1976;73.94;1976;267.49;1976;737.56;1978;23.89;1978;206.48;1976;188.72;1986;1305.01;1976;98.94;1985;62.33;1988;301.13;1976;1417.93;1984;5558.95;1969;198.77;1976;1801.03;1992;299.53;1985;3459.41;1993;210.67;1976;1220.40;1976;1638.17;
1972;252.02;2001;975.27;1972;437.56;1984;713.80;1977;87.25;1977;354.77;1977;665.60;1979;45.69;1980;144.63;1977;364.74;1987;1415.97;1977;91.73;1986;63.86;1989;502.21;1977;2072.65;1985;2787.77;1970;589.95;1977;1540.83;1993;795.08;1986;2459.23;1994;705.65;1977;713.22;1977;939.08;
1973;362.03;2002;412.56;1973;596.89;1985;1041.12;1978;84.31;1978;559.15;1978;1111.71;1980;20.42;1982;270.52;1978;471.56;1988;1603.00;1978;144.23;1987;107.95;1991;343.83;1978;2088.97;1986;2271.49;1971;330.93;1978;913.22;1994;2202.83;1987;3133.53;1995;496.94;1978;238.29;1978;326.01;
1974;260.22;2003;663.46;1974;475.92;1986;622.18;1979;117.22;1979;445.28;1979;1041.52;1981;22.82;1983;65.86;1980;221.67;1989;1852.01;1979;467.04;1988;41.95;1992;183.27;1979;3786.75;1987;2706.16;1972;564.76;1979;1676.08;1995;1576.40;1988;3386.74;1996;482.59;1979;759.80;1979;1571.06;
1975;274.11;2004;717.53;1975;470.40;1987;539.50;1980;79.60;1980;392.10;1980;837.67;1982;26.85;1984;129.22;1981;162.17;1990;1486.93;1980;1088.54;1989;165.18;1993;331.08;1980;2765.95;1988;2271.49;1973;1267.32;1980;1156.39;1996;1895.86;1989;2503.42;2000;308.60;1980;504.90;1980;784.62;
1976;358.89;2005;432.14;1976;793.67;1988;536.85;1981;49.62;1981;350.44;1981;603.13;1983;19.76;1985;146.69;1982;66.05;1991;1821.15;1981;139.02;1990;30.03;1994;575.87;1981;1458.63;1989;2914.39;1974;468.18;1981;652.36;1997;412.33;1990;2277.92;2001;450.45;1981;568.29;1981;603.21;
1977;529.50;2006;726.66;1977;878.52;1989;747.82;1982;47.50;1982;283.17;1982;531.89;1984;23.89;1986;63.41;1984;607.26;1992;1134.94;1982;39.96;1991;165.83;1995;308.05;1982;1759.69;1990;2088.83;1975;458.52;1982;705.73;1998;1032.06;1991;1884.50;2002;283.54;1982;126.48;1982;273.39;
